@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
285.299988,101320,92,8,2.699997,256,6.2,7.1,?,?,1012.7,13,13.4,Baja
285.400024,101190,89,5.300003,2.800003,223,4.2,4.9,7.69,5.16,1011.7,13,13.4,Baja
285.900024,101050,85,3,3.900009,206,3.1,3.8,7.69,5.23,1011.2,13.2,13.8,Baja
286.299988,100830,86,1,2.400009,127,1.6,2,7.14,5.84,1009.5,13,13.8,Baja
286,100740,91,1.699997,-1.399994,13,2.8,3.4,8.33,5.83,1008.4,13,13.7,Baja
286,100680,90,2.699997,-2.099991,25,2.3,2.8,8.33,6.4,1008,13.2,13.7,Baja
286.200012,100810,84,2.100006,-2.199997,348,1,1.5,8.33,6.22,1008.6,13.8,14.9,Baja
286.600006,100840,81,2.100006,-1.899994,331,4.8,5.6,7.69,5.94,1008.8,13.2,14,Baja
286.400024,100840,86,2.600006,-3.099991,352,3.5,4.3,7.69,5.84,1008.6,13.6,13.9,Baja
286.400024,100880,86,4.800003,-2.199997,320,4.8,5.5,7.69,5.64,1008.9,13.8,13.9,Baja
287,100990,83,7,0.5,286,5.6,6.6,7.14,5.01,1009.8,13.9,14,Baja
286.5,101100,84,5.900009,2.699997,254,5.1,5.9,7.69,4.89,1010.8,13.7,14,Baja
285.799988,101200,89,5.100006,4,246,4.1,5,7.69,4.95,1012.1,13.6,13.9,Baja
286.400024,101420,83,1.100006,3.5,204,3.3,3.7,7.14,5.24,1014.1,13.8,13.9,Baja
287.100006,101500,78,-0.399994,2.600006,155,2,2.8,6.25,5.4,1015.6,14.5,14.6,Baja
287.100006,101470,76,-0.300003,0.5,87,2.1,2.5,6.25,5.72,1015.7,14.5,14.7,Baja
286.5,101370,84,1.600006,-1.099991,31,5.1,5.9,7.14,5.47,1015,14.1,14.2,Baja
287.100006,101410,85,2.400009,-2.399994,4,5.2,6.1,7.14,4.07,1015.1,14.2,14.2,Baja
287.200012,101420,88,4.400009,-2.099991,332,6.6,7.5,3.7,3.7,1013.8,14.5,14.4,Baja
287,101340,88,5.600006,-1.800003,318,6.3,7.3,4.55,4.08,1012.9,14.1,14.4,Baja
286.5,101270,93,5.600006,0.900009,272,4.7,5.9,4.76,3.84,1011.9,13.6,14.4,Baja
287,101260,88,4.199997,4.100006,194,4.5,5.2,16,4.78,1011.5,14.1,14.3,Baja
287.299988,101370,81,5.300003,5.800003,241,9,10.8,3.23,3.38,1011.8,13.6,14.5,Baja
286.100006,101480,80,0.5,6.100006,217,9.8,11.2,5.26,4.19,1014.1,13.1,14.2,Baja
285.700012,101520,89,-2,6.199997,181,4.6,5.4,5.56,4.19,1016,12.7,14.1,Baja
285.900024,101680,89,-5.199997,7.600006,152,7.1,8.6,4.55,4.4,1018,12.6,14.1,Baja
286.900024,101880,86,-7,6.600006,120,8.2,9.7,6.25,4.57,1019.9,13.9,14.2,Media
287.299988,102060,88,-7.800003,5.199997,119,8.1,9.9,4.76,4.69,1021.7,14.5,14.1,Media
287,102230,90,-8.699997,4.600006,109,7.7,8.8,6.25,4.94,1023.4,14.5,14.1,Baja
288.100006,102350,82,-8.800003,1.699997,111,6.9,8.1,6.25,4.63,1024.6,14.7,14.1,Baja
287.600006,102390,85,-8.099991,2.199997,102,6.4,7.7,6.25,4.83,1024.9,14.7,14.2,Baja
287.400024,102380,87,-7.199997,2.600006,108,6.2,7.2,6.67,4.57,1025,14.5,14.3,Baja
287.299988,102300,86,-8.300003,1.100006,110,5.7,6.8,6.25,4.8,1024.2,14.4,14.2,Baja
288.100006,102180,86,-9.099991,2,105,7.6,8.8,6.67,4.51,1023.6,14.7,14.3,Media
288.299988,102090,87,-8.300003,5.300003,111,8.3,9.4,6.67,4.7,1022.4,13.7,14.2,Media
287.700012,102020,91,-7.300003,3.199997,117,7,8.3,7.69,5.24,1020.9,14.1,14.3,Baja
287.5,101790,92,-9.199997,1.199997,103,7.2,8.2,7.14,4.49,1018.6,14.5,14.2,Media
288.400024,101460,90,-8.899994,5,93,11,12.9,5.56,4.59,1015.5,14.5,14.3,Media
287.900024,101400,92,-3.699997,8.400009,136,8.2,9.5,6.25,4.78,1013.1,14.6,14.1,Baja
287,101500,95,1.800003,8.699997,221,7,8.5,6.67,5.03,1014.6,13.6,14.2,Baja
287,101610,90,0,5.800003,156,5.7,6.7,6.25,4.66,1016,14.1,14.2,Baja
287.5,101510,87,-3.399994,4.600006,146,6.4,7.4,6.25,4.54,1015.8,14,14.1,Baja
286.900024,101110,95,-10.800003,2.600006,124,6.8,8.1,6.25,4.58,1013.7,13.7,14.2,Media
287.299988,100450,97,-6.899994,1.600006,106,10,12,5.56,4.6,1007.9,13.9,14.1,Media
287,100380,98,4,9.800003,106,1.2,2.4,8.33,5.17,1001.3,14.2,14.1,Media
286.900024,100700,88,4.100006,14.699997,192,10.5,13.1,8.33,5.5,1006,14.2,14.2,Media
287.100006,100870,90,2.5,12,155,8.3,10.8,8.33,5.79,1008,14,14.2,Media
287.400024,101030,85,5.699997,8.199997,195,7,8.7,8.33,5.81,1008.7,14.1,14.2,Media
286.600006,101210,91,7.699997,5.800003,260,2.8,3.5,9.09,6.12,1010,13.7,14.2,Media
287,101430,82,8.300003,3.199997,235,4.8,5.7,8.33,6.38,1012.6,13.9,14.2,Media
287.299988,101690,82,6.900009,5.5,236,6.7,7.7,9.09,5.91,1015.4,14.3,14.4,Baja
286.799988,101710,87,6.199997,7.5,211,7,8.3,8.33,5.12,1016.6,14,14.5,Media
286.400024,101790,88,6.800003,7.100006,203,8.4,9.6,6.67,4.99,1017.2,14,14.5,Media
286.400024,101820,86,5.800003,6.400009,202,6.6,7.7,6.67,5.09,1017.5,13.5,14.4,Media
287,101780,84,3.900009,5.600006,188,7.6,9.1,6.67,4.7,1017.6,14,14.4,Baja
286.200012,101560,95,4,3.300003,170,6.4,7.3,6.67,4.6,1016.1,13.7,14.5,Baja
286.600006,101490,91,3.900009,1.400009,182,4.2,5.2,6.67,5.12,1014.9,13.1,14.3,Baja
286.5,101410,94,4,1.800003,181,4.3,4.9,6.25,4.9,1013.7,13.9,14.7,Baja
286,101380,96,1.699997,6,177,4.8,5.3,12.12,4.91,1013.2,14.4,14.6,Baja
286.299988,101100,97,0.199997,9.5,169,7.5,9,11.43,4.02,1011,14.2,14.8,Baja
286.5,100880,98,-1.800003,11.300003,163,9.1,10.7,5.26,4.22,1008.3,13.9,14.4,Media
286.400024,100570,99,-2,11.600006,171,10.3,12.2,5.88,4.8,1005.4,14.1,14.4,Moderada
287.200012,100360,93,-3.300003,13.900009,151,11.8,14.3,7.69,5.55,1003.4,14.1,14.4,Moderada
286.799988,100110,98,-3.699997,11.900009,161,10.6,13,8.33,6.48,1001.3,14.2,14.3,Moderada
287,99870,99,-3.599991,8.100006,140,9.1,10.8,8.33,6.56,999.8,14.2,14.3,Moderada
287.200012,99960,97,3.400009,5.900009,183,5.4,6.6,8.33,6.2,998.9,13.6,14.3,Media
