@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,7,8,9,10,11,12,14-weka.filters.unsupervised.attribute.Remove-R4'

@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
101320,8,2.699997,7.1,?,?,1012.7,13,Baja
101190,5.300003,2.800003,4.9,7.69,5.16,1011.7,13,Baja
101050,3,3.900009,3.8,7.69,5.23,1011.2,13.2,Baja
100830,1,2.400009,2,7.14,5.84,1009.5,13,Baja
100740,1.699997,-1.399994,3.4,8.33,5.83,1008.4,13,Baja
100680,2.699997,-2.099991,2.8,8.33,6.4,1008,13.2,Baja
100810,2.100006,-2.199997,1.5,8.33,6.22,1008.6,13.8,Baja
100840,2.100006,-1.899994,5.6,7.69,5.94,1008.8,13.2,Baja
100840,2.600006,-3.099991,4.3,7.69,5.84,1008.6,13.6,Baja
100880,4.800003,-2.199997,5.5,7.69,5.64,1008.9,13.8,Baja
100990,7,0.5,6.6,7.14,5.01,1009.8,13.9,Baja
101100,5.900009,2.699997,5.9,7.69,4.89,1010.8,13.7,Baja
101200,5.100006,4,5,7.69,4.95,1012.1,13.6,Baja
101420,1.100006,3.5,3.7,7.14,5.24,1014.1,13.8,Baja
101500,-0.399994,2.600006,2.8,6.25,5.4,1015.6,14.5,Baja
101470,-0.300003,0.5,2.5,6.25,5.72,1015.7,14.5,Baja
101370,1.600006,-1.099991,5.9,7.14,5.47,1015,14.1,Baja
101410,2.400009,-2.399994,6.1,7.14,4.07,1015.1,14.2,Baja
101420,4.400009,-2.099991,7.5,3.7,3.7,1013.8,14.5,Baja
101340,5.600006,-1.800003,7.3,4.55,4.08,1012.9,14.1,Baja
101270,5.600006,0.900009,5.9,4.76,3.84,1011.9,13.6,Baja
101260,4.199997,4.100006,5.2,16,4.78,1011.5,14.1,Baja
101370,5.300003,5.800003,10.8,3.23,3.38,1011.8,13.6,Baja
101480,0.5,6.100006,11.2,5.26,4.19,1014.1,13.1,Baja
101520,-2,6.199997,5.4,5.56,4.19,1016,12.7,Baja
101680,-5.199997,7.600006,8.6,4.55,4.4,1018,12.6,Baja
101880,-7,6.600006,9.7,6.25,4.57,1019.9,13.9,Media
102060,-7.800003,5.199997,9.9,4.76,4.69,1021.7,14.5,Media
102230,-8.699997,4.600006,8.8,6.25,4.94,1023.4,14.5,Baja
102350,-8.800003,1.699997,8.1,6.25,4.63,1024.6,14.7,Baja
102390,-8.099991,2.199997,7.7,6.25,4.83,1024.9,14.7,Baja
102380,-7.199997,2.600006,7.2,6.67,4.57,1025,14.5,Baja
102300,-8.300003,1.100006,6.8,6.25,4.8,1024.2,14.4,Baja
102180,-9.099991,2,8.8,6.67,4.51,1023.6,14.7,Media
102090,-8.300003,5.300003,9.4,6.67,4.7,1022.4,13.7,Media
102020,-7.300003,3.199997,8.3,7.69,5.24,1020.9,14.1,Baja
101790,-9.199997,1.199997,8.2,7.14,4.49,1018.6,14.5,Media
101460,-8.899994,5,12.9,5.56,4.59,1015.5,14.5,Media
101400,-3.699997,8.400009,9.5,6.25,4.78,1013.1,14.6,Baja
101500,1.800003,8.699997,8.5,6.67,5.03,1014.6,13.6,Baja
101610,0,5.800003,6.7,6.25,4.66,1016,14.1,Baja
101510,-3.399994,4.600006,7.4,6.25,4.54,1015.8,14,Baja
101110,-10.800003,2.600006,8.1,6.25,4.58,1013.7,13.7,Media
100450,-6.899994,1.600006,12,5.56,4.6,1007.9,13.9,Media
100380,4,9.800003,2.4,8.33,5.17,1001.3,14.2,Media
100700,4.100006,14.699997,13.1,8.33,5.5,1006,14.2,Media
100870,2.5,12,10.8,8.33,5.79,1008,14,Media
101030,5.699997,8.199997,8.7,8.33,5.81,1008.7,14.1,Media
101210,7.699997,5.800003,3.5,9.09,6.12,1010,13.7,Media
101430,8.300003,3.199997,5.7,8.33,6.38,1012.6,13.9,Media
101690,6.900009,5.5,7.7,9.09,5.91,1015.4,14.3,Baja
101710,6.199997,7.5,8.3,8.33,5.12,1016.6,14,Media
101790,6.800003,7.100006,9.6,6.67,4.99,1017.2,14,Media
101820,5.800003,6.400009,7.7,6.67,5.09,1017.5,13.5,Media
101780,3.900009,5.600006,9.1,6.67,4.7,1017.6,14,Baja
101560,4,3.300003,7.3,6.67,4.6,1016.1,13.7,Baja
101490,3.900009,1.400009,5.2,6.67,5.12,1014.9,13.1,Baja
101410,4,1.800003,4.9,6.25,4.9,1013.7,13.9,Baja
101380,1.699997,6,5.3,12.12,4.91,1013.2,14.4,Baja
101100,0.199997,9.5,9,11.43,4.02,1011,14.2,Baja
100880,-1.800003,11.300003,10.7,5.26,4.22,1008.3,13.9,Media
100570,-2,11.600006,12.2,5.88,4.8,1005.4,14.1,Moderada
100360,-3.300003,13.900009,14.3,7.69,5.55,1003.4,14.1,Moderada
100110,-3.699997,11.900009,13,8.33,6.48,1001.3,14.2,Moderada
99870,-3.599991,8.100006,10.8,8.33,6.56,999.8,14.2,Moderada
99960,3.400009,5.900009,6.6,8.33,6.2,998.9,13.6,Media
100150,1.199997,6.800003,8,9.09,6.58,1001.1,14.6,Media
100100,-3.599991,6.400009,7.9,7.69,6.16,1001.8,14.3,Media
99940,-3.800003,5.900009,8,7.69,6.04,1000.3,14.5,Media
99950,1.100006,10.400009,10.1,7.69,5.81,998.7,14.7,Media
