@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,7,8,9,10,11,12,14-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2'

@attribute pres numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute ATMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
101320,2.699997,7.1,?,?,13,Baja
101190,2.800003,4.9,7.69,5.16,13,Baja
101050,3.900009,3.8,7.69,5.23,13.2,Baja
100830,2.400009,2,7.14,5.84,13,Baja
100740,-1.399994,3.4,8.33,5.83,13,Baja
100680,-2.099991,2.8,8.33,6.4,13.2,Baja
100810,-2.199997,1.5,8.33,6.22,13.8,Baja
100840,-1.899994,5.6,7.69,5.94,13.2,Baja
100840,-3.099991,4.3,7.69,5.84,13.6,Baja
100880,-2.199997,5.5,7.69,5.64,13.8,Baja
100990,0.5,6.6,7.14,5.01,13.9,Baja
101100,2.699997,5.9,7.69,4.89,13.7,Baja
101200,4,5,7.69,4.95,13.6,Baja
101420,3.5,3.7,7.14,5.24,13.8,Baja
101500,2.600006,2.8,6.25,5.4,14.5,Baja
101470,0.5,2.5,6.25,5.72,14.5,Baja
101370,-1.099991,5.9,7.14,5.47,14.1,Baja
101410,-2.399994,6.1,7.14,4.07,14.2,Baja
101420,-2.099991,7.5,3.7,3.7,14.5,Baja
101340,-1.800003,7.3,4.55,4.08,14.1,Baja
101270,0.900009,5.9,4.76,3.84,13.6,Baja
101260,4.100006,5.2,16,4.78,14.1,Baja
101370,5.800003,10.8,3.23,3.38,13.6,Baja
101480,6.100006,11.2,5.26,4.19,13.1,Baja
101520,6.199997,5.4,5.56,4.19,12.7,Baja
101680,7.600006,8.6,4.55,4.4,12.6,Baja
101880,6.600006,9.7,6.25,4.57,13.9,Media
102060,5.199997,9.9,4.76,4.69,14.5,Media
102230,4.600006,8.8,6.25,4.94,14.5,Baja
102350,1.699997,8.1,6.25,4.63,14.7,Baja
102390,2.199997,7.7,6.25,4.83,14.7,Baja
102380,2.600006,7.2,6.67,4.57,14.5,Baja
102300,1.100006,6.8,6.25,4.8,14.4,Baja
102180,2,8.8,6.67,4.51,14.7,Media
102090,5.300003,9.4,6.67,4.7,13.7,Media
102020,3.199997,8.3,7.69,5.24,14.1,Baja
101790,1.199997,8.2,7.14,4.49,14.5,Media
101460,5,12.9,5.56,4.59,14.5,Media
101400,8.400009,9.5,6.25,4.78,14.6,Baja
101500,8.699997,8.5,6.67,5.03,13.6,Baja
101610,5.800003,6.7,6.25,4.66,14.1,Baja
101510,4.600006,7.4,6.25,4.54,14,Baja
101110,2.600006,8.1,6.25,4.58,13.7,Media
100450,1.600006,12,5.56,4.6,13.9,Media
100380,9.800003,2.4,8.33,5.17,14.2,Media
100700,14.699997,13.1,8.33,5.5,14.2,Media
100870,12,10.8,8.33,5.79,14,Media
101030,8.199997,8.7,8.33,5.81,14.1,Media
101210,5.800003,3.5,9.09,6.12,13.7,Media
101430,3.199997,5.7,8.33,6.38,13.9,Media
101690,5.5,7.7,9.09,5.91,14.3,Baja
101710,7.5,8.3,8.33,5.12,14,Media
101790,7.100006,9.6,6.67,4.99,14,Media
101820,6.400009,7.7,6.67,5.09,13.5,Media
101780,5.600006,9.1,6.67,4.7,14,Baja
101560,3.300003,7.3,6.67,4.6,13.7,Baja
101490,1.400009,5.2,6.67,5.12,13.1,Baja
101410,1.800003,4.9,6.25,4.9,13.9,Baja
101380,6,5.3,12.12,4.91,14.4,Baja
101100,9.5,9,11.43,4.02,14.2,Baja
100880,11.300003,10.7,5.26,4.22,13.9,Media
100570,11.600006,12.2,5.88,4.8,14.1,Moderada
100360,13.900009,14.3,7.69,5.55,14.1,Moderada
100110,11.900009,13,8.33,6.48,14.2,Moderada
99870,8.100006,10.8,8.33,6.56,14.2,Moderada
99960,5.900009,6.6,8.33,6.2,13.6,Media
100150,6.800003,8,9.09,6.58,14.6,Media
100100,6.400009,7.9,7.69,6.16,14.3,Media
99940,5.900009,8,7.69,6.04,14.5,Media
99950,10.400009,10.1,7.69,5.81,14.7,Media
100440,13.100006,11.9,8.33,5.43,14.9,Moderada
100750,10.5,9.3,9.09,5.95,14.9,Media
100910,9.400009,8.8,8.33,5.82,14.6,Media
101000,7,7.5,9.09,6.12,14.6,Media
100990,6,7.1,9.09,6.28,14.7,Media
101060,5.100006,6.7,10,6.59,14.5,Media
101160,6.800003,6.1,10,6.06,14.8,Media
101110,10.400009,7.3,9.09,5.92,14.7,Media
100990,10.199997,12.2,8.33,5.11,14.4,Media
100840,11.100006,10.2,5.88,5.5,14.3,Media
100730,9.900009,9.6,6.67,5.41,14.5,Media
100810,9.5,10.9,8.33,5.32,14.7,Media
100860,9.199997,8.4,9.09,5.69,14.6,Media
100680,10.5,10.7,8.33,5.36,14.7,Moderada
100660,10,13.2,8.33,5.87,14.6,Media
100790,3.100006,4.9,10,6.61,13.9,Media
100650,3.699997,1.4,8.33,7,12.9,Media
100800,4.300003,7.3,7.14,6.6,14.2,Media
101010,4.800003,7.7,7.69,5.99,14.4,Media
101300,7,9.2,7.69,6.25,13.9,Media
101560,7.100006,7.3,7.69,5.87,14.7,Media
101590,7.400009,7.2,7.14,6.12,14.5,Media
101460,12.400009,11.2,8.33,5.47,14.5,Moderada
101220,14.300003,16,7.14,5.38,14,Moderada
101100,12.400009,11.5,8.33,6.55,14.8,Moderada
100900,11.699997,10.5,9.09,6.67,14.7,Moderada
100620,13.800003,14.1,10,5.95,14.9,Moderada
100950,8,14.5,10,6.57,14.4,Moderada
101330,4.100006,10.7,8.33,6.22,14.5,Moderada
101640,2.600006,8.9,10.81,6.86,14.5,Media
101800,3,8.4,9.09,6.48,14.5,Media
101930,1.100006,7.9,8.33,6.01,14.1,Media
102040,0.699997,7.8,9.09,6.08,14.4,Media
102050,0.400009,4.9,9.09,5.88,14.2,Media
101960,1.600006,6.4,9.09,5.83,14.2,Baja
101920,1.400009,5.2,9.09,5.42,13.9,Baja
101760,1.400009,2.6,6.67,5.28,14.2,Baja
101560,1,2.4,8.33,6.81,14,Baja
101500,-1.300003,5.4,9.09,6.61,14,Baja
101610,-4.399994,5.3,8.33,4.96,14.2,Baja
101790,-6.300003,5.1,6.67,5.44,14.4,Baja
102030,-7.199997,4.4,7.14,5.66,14.4,Baja
102320,-5.399994,3.8,14.81,5.86,14.4,Baja
102530,-4.599991,3.5,6.25,5.26,14.4,Baja
102670,-2.199997,3.7,14.81,5.91,14.8,Baja
102630,1,3.7,14.81,6.21,14.5,Baja
102620,1.400009,4.5,13.79,6.04,14.2,Baja
102430,4.600006,2.7,14.81,6.7,13.9,Baja
102230,3.5,3.4,13.79,4.18,13.8,Baja
102160,-2.599991,5.8,5.26,3.92,13.6,Baja
102360,-4.599991,5.6,6.25,5.29,14.1,Baja
102480,-3.099991,1.7,7.69,5.41,14.4,Baja
102410,4.600006,3.2,7.69,5.97,14.5,Baja
101960,10.900009,9.9,6.67,4.06,13.8,Media
101430,11,6.4,5.88,4.84,14.6,Media
101140,7.100006,9.2,6.25,4.61,14.6,Baja
101130,4.699997,6.9,6.67,5.05,14.5,Media
101390,0.800003,8.4,7.14,5.51,14.8,Media
101490,-1,7.4,7.69,5.17,14.4,Media
101590,2.600006,8.1,8.33,5.76,14.3,Media
101470,5.699997,8.1,7.69,5.09,14.4,Media
101390,7.400009,11.3,7.69,5.58,13.9,Media
101430,5,11.2,8.33,5.44,14.3,Media
101570,1.800003,9.2,9.09,6.15,14.3,Media
101710,1.5,7.6,10,5.92,14.6,Media
101790,1,6.6,9.09,6.34,14.3,Media
101850,1.5,6.8,10.81,6.58,14.1,Media
101940,2.100006,7,10,6.24,13.5,Baja
101840,6.600006,7.7,10,5.83,14.5,Baja
101450,10.600006,9,8.33,5.3,14.4,Media
100930,11.800003,13.6,5.88,4.93,13.6,Media
100400,9.699997,9.8,7.14,5.56,13.8,Media
100070,5,8.3,9.09,5.95,14.3,Moderada
99920,-0.800003,0.8,10,6.88,13.8,Media
99920,-2.199997,5.6,10,7.12,13.6,Media
100050,-5.599991,8.4,9.09,6.53,14,Media
100280,-4.599991,8.7,9.09,6.27,14.2,Media
100530,-3,11.7,9.09,5.61,14.4,Media
100660,-1,10.3,9.09,5.64,14.2,Media
100710,3.199997,9.7,8.33,5.38,14.1,Media
100570,5.699997,9.8,6.67,5.29,13.8,Media
100260,6.900009,7.4,7.69,5.36,13.3,Baja
100060,0.199997,5,6.67,5.06,13.4,Baja
100350,-3.800003,2.4,12.12,5.86,14.1,Baja
100690,-2.5,6.9,6.67,5.2,14,Baja
101010,-4.5,9.4,7.14,4.96,14.2,Media
101240,-1.5,9.7,9.09,5.67,13.9,Media
101350,-2,11.1,9.09,4.94,13.9,Media
101650,-4.899994,11.4,8.33,5.55,14.3,Media
101980,-4.899994,11.5,7.14,5.23,14.1,Media
102230,-2.399994,10.1,8.33,5.6,14.1,Media
102220,-0.5,12.3,7.69,5.22,14.2,Media
102350,0.900009,12.3,7.14,5.59,14.4,Media
102310,0.400009,10.5,8.33,5.48,14.4,Media
102350,2.100006,10.3,7.14,5.42,13.9,Media
102190,4.5,8.1,8.33,5.53,14.1,Media
102150,4.300003,6.4,7.69,5.14,14.3,Baja
101980,4.699997,6.3,7.14,5.24,14.4,Media
102070,5.699997,10.4,5.88,4.62,14.7,Media
102130,7.600006,10.1,5.88,4.79,15.2,Media
102110,10.699997,12.7,6.25,4.77,15.3,Media
102080,11.400009,13.2,7.14,4.8,14.8,Moderada
102050,13.5,12.7,7.14,5.64,15,Moderada
101920,12.800003,15.2,7.14,5.64,14.9,Moderada
101800,12.900009,13.3,8.33,5.81,15.1,Moderada
101520,11.699997,13.6,8.33,5.47,15,Moderada
101490,6,8.9,9.09,6.06,14.6,Media
101490,-0.099991,5.5,9.09,6.31,14,Baja
101520,-3.300003,6,7.69,5.73,14,Baja
101530,-4.800003,6.6,8.33,5.59,14.3,Baja
101600,-4.699997,6.1,7.14,4.77,14.4,Media
101680,-2.300003,8.3,7.69,4.84,14.3,Media
101800,-1.899994,10,7.14,4.86,14.6,Media
101850,-2.199997,6.2,5.88,5,14.2,Baja
101950,-2,6,6.25,4.76,14.2,Baja
101970,-0.699997,3.9,7.14,5.53,14.4,Baja
102070,2.400009,4.4,16,4.75,13.9,Baja
102040,2.300003,4.6,14.81,7.63,13.6,Media
102050,4.5,5,12.12,8.57,13.2,Media
101970,5.900009,6.5,12.12,7.72,13.9,Media
101870,6.300003,7.6,10.81,6.12,14.2,Media
101730,5.900009,10.1,12.12,5.29,13.8,Media
101810,4.600006,5.6,10.81,5.99,14.4,Media
101930,1.600006,5.1,11.43,6.52,14.2,Media
102130,-2,8.7,10,5.76,14.3,Media
102320,-1.899994,5.7,10,6.03,14.2,Media
102390,0.199997,3.1,11.43,6.37,14,Baja
102410,5.699997,6.6,6.67,6.19,14,Baja
102270,9.600006,10,6.67,5.07,14.6,Baja
102240,12.100006,8.3,5.56,4.9,14.8,Media
102240,12,11.1,6.67,4.58,14.8,Media
102190,13.199997,12.6,8.33,5.72,15,Media
102030,14.400009,11.6,8.33,5.4,15.5,Moderada
101860,13.699997,11.4,8.33,5.96,15.2,Moderada
101700,13.900009,12.7,9.09,5.97,15,Moderada
101530,11.400009,11.9,10,6.79,14.8,Moderada
101330,12.800003,11.2,10,6.3,15.1,Moderada
101160,11.5,13.5,10,5.67,15.2,Moderada
101110,8.800003,12.5,9.09,6.06,15.3,Media
101110,7.800003,8.2,10,5.98,14.8,Media
100880,8.400009,10.6,9.09,5.87,15.3,Media
100880,8.5,9.5,12.12,5.84,13.6,Moderada
100960,6.5,8.3,12.9,7.3,14.4,Moderada
101070,4.400009,7.6,13.79,7.62,14.4,Media
101180,2.199997,5.9,13.79,7.09,14.6,Moderada
101260,2.300003,5.8,12.9,8.45,14.3,Media
101370,-0.399994,5.9,12.12,7.41,14.3,Media
101340,0.199997,4.6,10.81,7.84,14.3,Media
101340,1.199997,1.9,7.14,6.56,14.5,Media
101020,6.800003,5.5,9.09,7.12,14.3,Media
100540,11.400009,9.5,7.69,5.17,14.1,Media
99940,13.600006,14.1,5.56,5.19,13.7,Moderada
99350,11.400009,15.9,8.33,6.18,13.2,Moderada
98640,10.600006,8.9,8.33,6.64,14.2,Media
98010,13.300003,11.7,8.33,5.75,14.4,Moderada
97760,8.600006,9.9,8.33,5.98,14.6,Media
98150,6.100006,5.7,7.14,6.16,14.7,MuyAlta
98920,7,18.3,11.43,6.59,12.7,MuyAlta
99700,6.600006,17.1,9.09,7.58,13.6,MuyAlta
100240,9.600006,13.3,10,7.17,14,Moderada
100570,6.900009,8.5,11.43,7.13,14.1,Moderada
100340,-1.300003,6,10,7.64,13.8,Media
100250,-3.300003,1.2,7.69,6.71,12,Media
100540,-1.399994,4.6,10,7.05,13.1,Media
100740,-0.399994,3.3,8.33,6.48,13.5,Media
100430,-3.800003,3,8.33,7.18,13.1,Media
99870,-9.5,8.8,8.33,6.44,13.1,Media
99250,-13.199997,12.5,4.76,4.92,13.2,Media
99580,-4.599991,13.3,6.25,5.28,13.1,Moderada
100020,1.699997,10.4,7.69,5.77,13.2,Media
100280,3.800003,6.9,10,6.18,13.2,Media
100410,2.5,4.6,8.33,6.37,12.2,Media
100670,1.400009,1.7,6.67,6.05,13.4,Media
100810,-1,3.7,6.67,6.23,13.1,Baja
100850,-2.699997,5,7.14,6.05,13.1,Baja
100820,-7.099991,7.9,6.67,5.13,13.3,Baja
100680,-10.199997,9.8,3.85,4.3,13.4,Media
100500,-14.5,11.7,5.56,4.3,13.1,Media
100390,-14.599991,12.7,5.26,4.9,12.9,Media
100390,-14.099991,12.1,6.25,5.19,12.8,Media
100510,-11.5,10.9,6.67,5.11,13.3,Media
100580,-7.899994,8.5,6.67,5.21,13.2,Media
100640,-10.800003,7.1,6.25,5.48,13.1,Media
100790,-9.5,8,9.09,6.19,14.4,Media
100930,-9,7.5,12.12,6.04,14.2,Media
100950,-4.899994,7.7,10,6.96,13.8,Media
100790,-3,5.2,11.43,6.79,13.1,Media
100570,0.800003,3.3,10,6.95,13.4,Media
100290,6.699997,4.6,10.81,7.71,13.4,Media
100100,6.5,6.4,10,6.38,13.3,Media
100020,7,10.9,10,5.15,12.8,Media
99960,9.900009,7.7,9.09,5.42,13.5,Media
99600,9.900009,11.2,8.33,5.49,13.8,Moderada
99430,7.400009,11.2,8.33,6.48,13.2,Moderada
99320,6.699997,9.2,11.43,6.44,13,Moderada
99440,2.300003,5.7,9.09,6.4,13.2,Media
99670,-4.099991,8.9,9.09,6.47,13,Media
100160,-9.199997,11.9,8.33,5.3,13.5,Media
100590,-7.300003,11,8.33,5.21,13.3,Media
100880,-3.699997,10.7,8.33,5.45,13.1,Media
101160,-3.300003,10.7,8.33,5.76,13.5,Moderada
101380,-3.099991,15.7,8.33,5.96,12.4,Moderada
101640,-5.599991,14,10,6.52,11.8,Moderada
101900,-5.699997,13.4,8.33,6.17,12.4,Moderada
102110,-8.300003,13,9.09,6.25,12.4,Moderada
102240,-6.199997,8.8,9.09,6.63,11.7,Moderada
102280,-4.899994,4.8,9.09,6.32,11.4,Baja
102290,1.199997,5.6,8.33,6.1,11.6,Baja
102130,4.199997,9.4,6.67,4.72,12.2,Media
101680,1.300003,13.4,6.25,4.81,11.8,Moderada
100640,3.600006,17.5,7.14,5.85,11.9,MuyAlta
99330,8,23.1,10,7.82,11.4,MuyAlta
99070,18.400009,10.9,11.43,8.06,14,MuyAlta
98770,19.800003,12.5,10.81,8.4,13.7,MuyAlta
98190,20.300003,17.7,10.81,6.89,13.1,MuyAlta
98370,11.900009,19.3,10.81,8.27,12.6,MuyAlta
99350,0.400009,13,12.12,8.3,13.6,MuyAlta
100420,-0.699997,15.2,10.81,6.73,12.2,Moderada
100950,7.199997,13.4,10.81,7.35,11.6,Moderada
101000,10.400009,10.9,7.69,6.16,12.4,Moderada
100770,11.900009,12,8.33,5.93,13,Moderada
100200,12.400009,12.3,9.09,6.15,13.1,Moderada
99570,7.900009,18.8,7.14,6.05,13.8,Moderada
100180,-1.699997,14.3,8.33,6.22,10.6,Moderada
100840,1.800003,15.8,7.69,6.22,10.4,Moderada
101330,2.100006,15.8,9.09,6.48,9.5,MuyAlta
101630,0.600006,14,10,7.47,9.8,Moderada
101820,0.800003,9.9,10.81,6.58,9.7,Moderada
101850,-1.199997,7.6,9.09,6.93,9,Moderada
101850,-2.199997,9.7,9.09,6.13,9.1,Media
101790,-5.599991,8.9,9.09,6.78,8.8,Media
101710,-6.300003,3.8,7.69,6.25,9,Baja
101610,-6.300003,6.3,7.69,5.53,8.8,Baja
101520,-3.899994,2,16,5.81,8.9,Baja
101360,-3.5,3.2,6.67,5.71,8.6,Baja
101160,-2.399994,5,16,6.79,9.4,Baja
100670,-0.399994,8.8,9.09,4.09,10.6,Media
100130,2.300003,12.2,5.26,4.69,11.8,Media
99430,9.100006,12.4,6.25,4.96,11.6,Media
98750,13.800003,13.7,5.26,5.16,12.9,Media
98580,9.800003,7.6,7.14,5.31,12.7,Media
98490,9,10.8,7.14,5.7,12.7,Media
98470,13.900009,12.9,7.69,6.44,12.3,MuyAlta
98440,16.699997,12.9,16,8.68,12.8,MuyAlta
98200,17.900009,17.1,17.39,9.22,12.7,MuyAlta
98350,10.699997,15.3,17.39,10.14,12.4,MuyAlta
99110,7,17.8,16,7.97,11.6,MuyAlta
99890,6.5,13.9,12.9,8.58,11.9,MuyAlta
100350,8.100006,8.3,13.79,7.64,11.8,Moderada
100290,8.100006,7.7,12.12,7.82,11.8,Moderada
99330,8.199997,12.1,12.12,7.21,11.6,Moderada
99010,8.600006,13.5,7.14,6.61,12,MuyAlta
99410,8.900009,18.9,8.33,7.01,9.1,MuyAlta
