@relation 'Altura-de-ola-weka.filters.unsupervised.attribute.Remove-R11,16,17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.RemoveUseless-M50.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute class {Baja,Media,Moderada,MuyAlta}

@data
0.766466,0.676884,0.846154,0.651911,0.528205,0.713092,0.311224,0.2607,0.460956,0.412041,0.677987,0.832335,0.732673,Baja
0.772456,0.660281,0.788462,0.597586,0.530769,0.62117,0.209184,0.175097,0.32872,0.257822,0.665409,0.832335,0.732673,Baja
0.802396,0.642401,0.711538,0.551308,0.558975,0.573816,0.153061,0.132296,0.32872,0.266583,0.659119,0.844311,0.772277,Baja
0.826346,0.614304,0.730769,0.511066,0.520513,0.35376,0.076531,0.062257,0.290657,0.342929,0.637736,0.832335,0.772277,Baja
0.808383,0.60281,0.826923,0.525151,0.423077,0.036212,0.137755,0.116732,0.37301,0.341677,0.623899,0.832335,0.762376,Baja
0.808383,0.595147,0.807692,0.545272,0.405128,0.069638,0.112245,0.093385,0.37301,0.413016,0.618868,0.844311,0.762376,Baja
0.82036,0.61175,0.692308,0.533199,0.402564,0.969359,0.045918,0.042802,0.37301,0.390488,0.626415,0.88024,0.881188,Baja
0.844311,0.615581,0.634615,0.533199,0.410257,0.922006,0.239796,0.202335,0.32872,0.355444,0.628931,0.844311,0.792079,Baja
0.832336,0.615581,0.730769,0.54326,0.379487,0.980501,0.173469,0.151751,0.32872,0.342929,0.626415,0.868263,0.782178,Baja
0.832336,0.62069,0.730769,0.587525,0.402564,0.891365,0.239796,0.198444,0.32872,0.317897,0.630189,0.88024,0.782178,Baja
0.868263,0.634738,0.673077,0.631791,0.471795,0.796657,0.280612,0.241245,0.290657,0.239049,0.641509,0.886228,0.792079,Baja
0.838323,0.648787,0.692308,0.609658,0.528205,0.707521,0.255102,0.214008,0.32872,0.22403,0.654088,0.874251,0.792079,Baja
